danwei,biaoji
00024 中国民主同盟福建省委员会,aaa
00116 福建省福州市鼓楼区人民法院,aaa
00116 福建省福州市鼓楼区人民法院,aaa
00170 福州市鼓楼区五凤街道办事处,aaa
00171 福州市鼓楼区南街街道办事处,aaa
00172 福州市鼓楼区鼓西街道办事处,aaa
00172 福州市鼓楼区鼓西街道办事处,aaa
00173 福州市鼓楼区水部街道办事处,aaa
00173 福州市鼓楼区水部街道办事处,aaa
00174 福州市鼓楼区安泰街道办事处,aaa
